ix,iy,count
-1408251,772254,1
-1408251,772366,1
-1408251,772426,1
-1408251,772688,1
-1408251,772690,1
-1408251,772696,1
-1408251,772709,8
-1408251,772893,1
-1408251,773012,1
-1408251,773054,1
-1408251,773286,1
-1408250,770024,1
-1408250,771322,1
-1408250,771324,1
-1408250,771329,1
-1408250,771330,1
-1408250,771462,1
-1408250,771483,1
-1408250,771485,2
-1408250,771489,1
-1408250,771503,1
-1408250,772250,1
-1408250,772254,1
-1408250,772256,1
-1408250,772693,1
-1408250,773007,1
-1408250,773189,1
-1408249,770017,1
-1408249,770205,1
-1408249,770212,1
-1408249,770602,1
-1408249,771312,1
-1408249,771326,1
-1408249,771333,1
-1408249,771336,1
-1408249,771339,1
-1408249,771494,9
-1408249,771499,1
-1408249,771507,1
-1408249,771554,1
-1408249,772253,2
-1408249,772255,1
-1408249,772361,1
-1408249,772691,1
-1408248,770018,1
-1408248,770148,1
-1408248,771296,23
-1408248,771329,1
-1408248,771331,1
-1408248,771461,1
-1408248,771485,1
-1408248,771494,1
-1408248,771500,1
-1408248,771522,1
-1408248,771593,1
-1408248,771713,3
-1408248,771815,1
-1408248,772247,17
-1408248,772558,1
-1408248,772687,1
-1408248,772691,1
-1408248,772695,1
-1408248,773054,1
-1408248,773078,1
-1408247,770023,1
-1408247,771290,1
-1408247,771294,1
-1408247,771320,1
-1408247,771427,1
-1408247,771431,43
-1408247,771498,1
-1408247,771503,21
-1408247,771521,1
-1408247,771790,1
-1408247,772256,1
-1408247,772698,1
-1408247,772977,4
-1408247,773030,1
-1408247,773302,1
-1408246,771321,1
-1408246,771326,1
-1408246,771331,1
-1408246,771338,1
-1408246,771341,1
-1408246,771487,1
-1408246,771497,1
-1408246,771514,1
-1408246,771524,1
-1408246,771543,2
-1408246,771547,1
-1408246,772070,1
-1408246,772373,2
-1408246,772386,1
-1408246,772686,1
-1408246,772693,1
-1408246,772911,1
-1408246,773030,1
-1408246,773060,1
-1408246,773272,1
-1408245,770015,1
-1408245,770071,1
-1408245,771310,1
-1408245,771327,1
-1408245,771492,1
-1408245,771496,1
-1408245,771497,1
-1408245,771505,1
-1408245,771507,4
-1408245,771510,1
-1408245,771518,1
-1408245,771546,1
-1408245,771565,1
-1408245,771783,1
-1408245,772687,1
-1408245,772688,1
-1408245,772701,1
-1408245,772948,1
-1408245,773062,1
-1408245,773249,1
-1408245,773335,1
-1408245,773689,1
-1408244,770010,1
-1408244,770017,1
-1408244,771312,1
-1408244,771323,1
-1408244,771334,1
-1408244,771504,3
-1408244,771507,1
-1408244,772224,1
-1408244,772377,1
-1408244,772378,1
-1408244,772402,1
-1408244,772690,1
-1408244,772709,12
-1408244,773026,1
-1408244,773281,1
-1408243,771319,1
-1408243,771332,1
-1408243,771427,1
-1408243,771433,1
-1408243,771467,1
-1408243,771507,2
-1408243,771510,2
-1408243,771515,1
-1408243,772377,2
-1408243,772378,2
-1408243,772690,1
-1408243,772692,1
-1408243,772693,1
-1408243,772695,1
-1408243,772707,1
-1408243,772800,1
-1408243,772982,1
-1408242,771306,6
-1408242,771321,1
-1408242,771325,3
-1408242,771429,1
-1408242,771433,1
-1408242,771473,1
-1408242,771501,1
-1408242,771506,3
-1408242,771545,1
-1408242,771686,1
-1408242,772377,1
-1408242,772392,1
-1408242,772394,1
-1408242,772395,1
-1408242,772691,1
-1408242,772704,1
-1408242,773010,1
-1408242,773046,1
-1408242,773055,1
-1408242,773291,1
-1408242,773305,1
-1408241,771284,1
-1408241,771326,2
-1408241,771331,1
-1408241,771337,1
-1408241,771429,1
-1408241,771432,1
-1408241,771435,1
-1408241,771447,1
-1408241,771485,1
-1408241,771487,1
-1408241,771489,1
-1408241,771502,2
-1408241,771504,1
-1408241,771507,1
-1408241,771511,1
-1408241,771521,1
-1408241,771545,1
-1408241,771565,1
-1408241,771566,1
-1408241,771589,1
-1408241,772377,1
-1408241,772403,1
-1408241,772689,2
-1408241,772695,1
-1408241,772699,1
-1408241,772701,1
-1408240,771301,1
-1408240,771311,1
-1408240,771317,1
-1408240,771325,1
-1408240,771336,1
-1408240,771434,1
-1408240,771471,1
-1408240,771481,1
-1408240,771505,9
-1408240,772389,1
-1408240,772701,1
-1408240,772708,1
-1408240,772715,1
-1408240,772903,1
-1408240,772959,5
-1408240,773259,1
-1408239,770019,1
-1408239,770021,1
-1408239,770150,1
-1408239,771295,1
-1408239,771315,2
-1408239,771317,1
-1408239,771319,1
-1408239,771432,1
-1408239,771434,1
-1408239,771504,10
-1408239,771527,1
-1408239,771547,1
-1408239,771583,1
-1408239,771629,1
-1408239,772334,1
-1408239,772361,1
-1408239,772384,1
-1408239,772408,1
-1408239,772712,1
-1408239,772714,1
-1408238,771313,1
-1408238,771323,9
-1408238,771511,1
-1408238,771518,1
-1408238,771547,1
-1408238,772382,1
-1408238,772388,1
-1408238,772400,1
-1408238,772403,1
-1408238,772408,1
-1408238,772702,1
-1408238,772711,1
-1408238,772888,1
-1408238,772901,1
-1408238,773019,1
-1408237,770603,1
-1408237,771313,1
-1408237,771323,1
-1408237,771432,23
-1408237,771433,1
-1408237,771504,2
-1408237,771513,1
-1408237,771518,1
-1408237,771521,1
-1408237,771542,1
-1408237,771544,1
-1408237,771552,1
-1408237,771626,1
-1408237,772376,1
-1408237,772378,1
-1408237,772379,1
-1408237,772382,1
-1408237,773260,1
-1408236,771277,1
-1408236,771434,1
-1408236,771515,1
-1408236,771521,1
-1408236,771539,1
-1408236,771541,1
-1408236,771910,1
-1408236,772362,1
-1408236,772381,1
-1408236,772385,1
-1408236,772712,1
-1408236,772718,1
-1408236,772891,1
-1408236,772898,1
-1408236,773052,1
-1408235,770017,1
-1408235,770022,1
-1408235,770183,1
-1408235,771299,1
-1408235,771320,1
-1408235,771322,1
-1408235,771336,1
-1408235,771349,1
-1408235,771555,1
-1408235,772322,1
-1408235,772363,1
-1408235,772364,1
-1408235,772379,1
-1408235,772381,1
-1408235,772396,1
-1408235,772400,1
-1408235,772730,1
-1408235,772900,1
-1408234,770008,1
-1408234,770015,1
-1408234,770018,1
-1408234,770020,2
-1408234,770062,1
-1408234,770311,1
-1408234,771315,19
-1408234,771318,1
-1408234,771319,1
-1408234,771432,1
-1408234,771538,7
-1408234,772386,1
-1408234,772393,1
-1408234,772406,1
-1408234,772688,1
-1408234,772714,1
-1408234,772894,1
-1408234,773015,1
-1408234,773034,1
-1408234,773040,1
-1408234,773053,1
-1408234,773326,1
-1408234,773426,1
-1408234,774172,1
-1408233,770014,1
-1408233,771308,4
-1408233,771324,1
-1408233,771430,1
-1408233,771432,1
-1408233,771433,1
-1408233,771520,1
-1408233,771523,1
-1408233,771528,1
-1408233,771933,1
-1408233,772072,23
-1408233,772383,1
-1408233,772407,1
-1408233,772729,1
-1408233,773320,1
-1408232,770021,1
-1408232,770048,1
-1408232,771316,1
-1408232,771322,1
-1408232,771500,1
-1408232,771529,1
-1408232,771532,1
-1408232,771541,13
-1408232,771565,1
-1408232,771571,1
-1408232,772365,1
-1408232,772384,1
-1408232,772385,1
-1408232,772395,1
-1408232,772706,2
-1408232,772725,1
-1408232,772828,1
-1408231,770011,1
-1408231,770019,1
-1408231,771296,1
-1408231,771320,1
-1408231,771531,1
-1408231,771546,1
-1408231,771552,1
-1408231,771559,1
-1408231,772387,1
-1408231,772388,1
-1408231,772390,1
-1408231,772403,1
-1408231,772706,1
-1408231,772716,1
-1408231,772721,3
-1408231,772794,1
-1408231,772910,1
-1408231,773004,1
-1408231,773006,1
-1408231,773031,1
-1408231,773038,1
-1408231,773050,1
-1408231,773267,1
-1408230,770034,1
-1408230,770194,1
-1408230,770224,1
-1408230,771305,1
-1408230,771319,1
-1408230,771320,1
-1408230,771435,1
-1408230,771531,1
-1408230,771943,1
-1408230,772721,1
-1408230,772725,1
-1408230,772726,1
-1408230,772881,1
-1408229,770054,1
-1408229,770224,1
-1408229,770793,1
-1408229,771277,1
-1408229,771322,1
-1408229,771429,1
-1408229,771436,1
-1408229,771502,1
-1408229,772387,7
-1408229,772415,1
-1408229,772715,1
-1408229,772725,1
-1408229,772849,1
-1408229,772908,1
-1408228,770132,1
-1408228,770874,1
-1408228,771277,1
-1408228,771285,1
-1408228,771295,1
-1408228,771418,1
-1408228,771528,1
-1408228,771547,1
-1408228,771934,1
-1408228,772389,1
-1408228,772708,1
-1408228,772723,1
-1408228,772736,1
-1408228,772748,1
-1408228,772898,7
-1408227,770041,1
-1408227,770047,1
-1408227,771292,2
-1408227,771317,1
-1408227,771321,1
-1408227,771424,1
-1408227,771430,1
-1408227,771511,1
-1408227,771529,1
-1408227,771534,1
-1408227,771546,1
-1408227,772389,2
-1408227,772392,2
-1408227,772398,1
-1408227,772400,1
-1408227,772718,1
-1408227,772809,1
-1408227,772814,1
-1408227,772890,1
-1408227,772906,1
-1408227,772988,1
-1408227,773285,21
-1408226,770023,1
-1408226,770058,1
-1408226,770200,1
-1408226,770207,1
-1408226,771063,1
-1408226,771305,2
-1408226,771318,1
-1408226,771329,2
-1408226,771343,1
-1408226,771583,1
-1408226,771945,1
-1408226,772309,1
-1408226,772310,1
-1408226,772311,1
-1408226,772315,1
-1408226,772386,1
-1408226,772391,1
-1408226,772405,1
-1408226,772720,1
-1408226,772741,1
-1408226,772891,1
-1408226,772915,1
-1408226,772967,1
-1408226,773333,1
-1408225,770016,1
-1408225,770073,1
-1408225,771279,1
-1408225,771295,1
-1408225,771314,1
-1408225,771316,1
-1408225,771324,1
-1408225,771496,1
-1408225,771504,1
-1408225,771536,1
-1408225,771541,1
-1408225,771551,1
-1408225,771568,1
-1408225,771925,1
-1408225,772251,1
-1408225,772319,1
-1408225,772340,1
-1408225,772385,1
-1408225,772392,1
-1408225,772400,1
-1408225,772717,1
-1408225,772726,1
-1408225,772727,1
-1408225,772728,1
-1408225,772732,1
-1408225,772898,1
-1408225,773028,1
-1408224,770051,1
-1408224,770066,1
-1408224,770196,1
-1408224,771310,1
-1408224,771502,1
-1408224,771632,3
-1408224,772377,1
-1408224,772747,1
-1408224,772909,1
-1408223,770191,4
-1408223,770194,1
-1408223,770449,1
-1408223,771278,1
-1408223,771295,1
-1408223,771304,1
-1408223,771313,1
-1408223,771318,1
-1408223,772421,1
-1408223,772729,1
-1408223,772869,1
-1408223,772903,1
-1408223,772905,1
-1408223,772970,1
-1408223,773033,1
-1408223,774387,1
-1408222,770060,1
-1408222,771295,1
-1408222,771316,1
-1408222,771317,1
-1408222,771561,28
-1408222,771628,2
-1408222,772300,1
-1408222,772336,1
-1408222,772351,1
-1408222,772401,1
-1408222,772714,12
-1408222,772746,1
-1408222,772788,1
-1408222,772915,1
-1408222,773004,1
-1408221,770076,1
-1408221,770791,2
-1408221,771316,1
-1408221,771420,1
-1408221,771428,3
-1408221,771482,1
-1408221,771497,1
-1408221,771574,1
-1408221,771581,1
-1408221,772234,1
-1408221,772245,1
-1408221,772300,1
-1408221,772727,1
-1408221,772756,1
-1408221,772762,1
-1408221,772891,1
-1408221,772902,1
-1408221,772922,1
-1408221,772923,1
-1408221,773024,1
-1408221,773238,1
-1408220,770066,1
-1408220,771301,1
-1408220,771310,2
-1408220,771317,1
-1408220,771319,1
-1408220,771496,1
-1408220,771554,1
-1408220,772232,1
-1408220,772250,1
-1408220,772343,1
-1408220,772351,1
-1408220,772737,1
-1408220,772744,1
-1408220,772987,1
-1408220,773012,1
-1408220,773226,1
-1408219,770026,1
-1408219,770072,1
-1408219,770078,1
