ix,iy,count,n_genera,n_observers,n_captive,last_observed,median_last10_observed
-1408316,770636,1,1,1,1,2016-04-01,2016-04-01
-1408310,772481,1,1,1,0,2016-05-24,2016-05-24
-1408303,773082,1,1,1,1,2018-05-21,2018-05-21
-1408274,773623,1,1,1,0,2017-07-15,2017-07-15
-1408273,770686,1,1,1,1,2019-07-15,2019-07-15
-1408272,772017,1,1,1,0,2019-06-05,2019-06-05
-1408257,774363,1,1,1,0,2018-07-31,2018-07-31
-1408247,771241,1,1,1,0,2019-06-13,2019-06-13
-1408245,773057,1,1,1,0,2019-01-12,2019-01-12
-1408241,771323,1,1,1,0,2016-07-02,2016-07-02
-1408237,772977,1,1,1,0,2017-11-25,2017-11-25
-1408236,773343,1,1,1,0,2019-06-10,2019-06-10
-1408230,772933,2,2,1,0,2016-04-29,2016-04-29
-1408227,772882,1,1,1,0,2018-05-06,2018-05-06
-1408227,772911,1,1,1,0,2019-04-26,2019-04-26
-1408226,772925,1,1,1,0,2016-04-29,2016-04-29
-1408221,772959,1,1,1,0,2019-04-26,2019-04-26
-1408220,772928,1,1,1,0,2019-04-26,2019-04-26
-1408220,772930,2,1,1,0,2019-04-26,2019-04-26
-1408219,772965,1,1,1,0,2019-04-26,2019-04-26
-1408219,773012,1,1,1,0,2019-07-09,2019-07-09
-1408218,772927,1,1,1,0,2019-04-26,2019-04-26
-1408218,772930,1,1,1,0,2019-04-26,2019-04-26
-1408218,772960,1,1,1,0,2019-04-26,2019-04-26
-1408218,772998,1,1,1,0,2018-06-08,2018-06-08
-1408218,773002,1,1,1,0,2018-06-08,2018-06-08
-1408217,772928,1,1,1,0,2019-04-26,2019-04-26
-1408217,772929,1,1,1,0,2019-04-26,2019-04-26
-1408217,772948,1,1,1,0,2019-04-26,2019-04-26
-1408217,772996,1,1,1,0,2018-06-08,2018-06-08
-1408216,772911,1,1,1,0,2019-04-26,2019-04-26
-1408216,772919,1,1,1,0,2019-04-26,2019-04-26
-1408216,772971,1,1,1,0,2019-04-26,2019-04-26
-1408214,772907,1,1,1,0,2019-04-26,2019-04-26
-1408214,772956,1,1,1,0,2019-04-26,2019-04-26
-1408214,772972,1,1,1,0,2019-04-26,2019-04-26
-1408214,772998,1,1,1,0,2018-06-08,2018-06-08
